character;actor;movie
James Bond;Roger Moore;A View to a Kill
Max Zorin;Christopher Walken;A View to a Kill
Stacey Sutton;Tanya Roberts;A View to a Kill
May Day;Grace Jones;A View to a Kill
Sir Godfrey Tibbett;Patrick Macnee;A View to a Kill
Scarpine;Patrick Bauchau;A View to a Kill
Dr. Mortner;Willoughby Gray;A View to a Kill
Pola Ivanova;Fiona Fullerton;A View to a Kill
Chuck Lee;David Yip;A View to a Kill
General Gogol;Walter Gotell;A View to a Kill
M;Robert Brown;A View to a Kill
Q;Desmond Llewelyn;A View to a Kill
Sir Fredrick Gray;Geoffrey Keen;A View to a Kill
Miss Moneypenny;Lois Maxwell;A View to a Kill
Kimberley Jones;Mary Stävin;A View to a Kill
Jenny Flex;Alison Doody;A View to a Kill
Pan Ho;Papillon Soo Soo;A View to a Kill
Bob Conley;Manning Redwood;A View to a Kill
Achille Aubergine;Jean Rougerie;A View to a Kill
Dominique;Carole Ashby;A View to a Kill
Klotkoff;Bogdan Kominowski;A View to a Kill
W.G. Howe;Daniel Benzali;A View to a Kill
SFPD Captain;Joe Flood;A View to a Kill
Venz;wikipedia:Dolph Lundgren|Dolph Lundgren;A View to a Kill
Zorin's guard;Ron Tarr;A View to a Kill
James Bond;Daniel Craig;Casino Royale
Vesper Lynd;Eva Green;Casino Royale
Le Chiffre;Mads Mikkelsen;Casino Royale
M;Judi Dench;Casino Royale
Felix Leiter;Jeffrey Wright;Casino Royale
René Mathis;Giancarlo Giannini;Casino Royale
Mr. White;Jesper Christensen;Casino Royale
Valenka;Ivana Miličević;Casino Royale
Alex Dimitrios;Simon Abkarian;Casino Royale
Solange Dimitrios;Caterina Murino;Casino Royale
Carlos Nikolic;Claudio Santamaria;Casino Royale
Villiers;Tobias Menzies;Casino Royale
Dryden;Malcolm Sinclair;Casino Royale
Mr. Bliss;Con O'Neill;Casino Royale
Steven Obanno;Isaach De Bankolé;Casino Royale
Mollaka Danso;Sébastian Foucan;Casino Royale
Adolph Gettler;Richard Sammel;Casino Royale
Kratt;Clemens Schick;Casino Royale
Fisher;Darwin Shaw;Casino Royale
Leo;Emmanuel Avena;Casino Royale
Carter;Joseph Millson;Casino Royale
Tall Man;Leo Stransky;Casino Royale
Madam Wu;Tsai Chin;Casino Royale
Mendel;Ludger Pistor;Casino Royale
Williams;Ben Cooke;Casino Royale
Infante;Ade;Casino Royale
Tomelli;Urbano Barberini;Casino Royale
Gallardo;Charlie Levy Leroy;Casino Royale
Kaminofsky;Lazar Ristovski;Casino Royale
Fukutu;Tom So;Casino Royale
Gräfin von Wallenstein;Veruschka von Lehndorff;Casino Royale
Ocean Club receptionist;Christina Cole;Casino Royale
Vanya Bor;Unknown;Casino Royale
Heni Marville-Beau;Unknown;Casino Royale
Izzie Sawakowa;Unknown;Casino Royale
James Bond;Sean Connery;Diamonds Are Forever
Tiffany Case;Jill St. John;Diamonds Are Forever
Ernst Stavro Blofeld;Charles Gray;Diamonds Are Forever
Mr. Kidd;Putter Smith;Diamonds Are Forever
Mr. Wint;Bruce Glover;Diamonds Are Forever
Plenty O'Toole;Lana Wood;Diamonds Are Forever
Willard Whyte;Jimmy Dean;Diamonds Are Forever
Felix Leiter;Norman Burton;Diamonds Are Forever
Bert Saxby;Bruce Cabot;Diamonds Are Forever
Miss Moneypenny;Lois Maxwell;Diamonds Are Forever
Professor Dr. Metz;Joseph Fürst;Diamonds Are Forever
Sir Donald Munger;Laurence Naismith;Diamonds Are Forever
Morton Slumber;David Bauer;Diamonds Are Forever
Q;Desmond Llewelyn;Diamonds Are Forever
M;Bernard Lee;Diamonds Are Forever
Dr. Tynan;Henry Rowland;Diamonds Are Forever
Shady Tree;Leonard Barr;Diamonds Are Forever
Mrs. Whistler;Margaret Lacey;Diamonds Are Forever
